Latitude,Longitude,VelDown,IAS,Altitude,Energy,AccelZ
0.663166,-2.12953,-0.33,20.2,1002.63,1023.45,-9.79
0.663166,-2.12952,-0.29,20.2,1002.96,1023.78,-9.645
0.663165,-2.12952,-0.23,20.04,1003.23,1023.72,-9.61
0.663164,-2.12951,-0.09,20.04,1003.43,1023.92,-9.59
0.663163,-2.12951,-0.03,20.04,1003.51,1024,-9.67
0.663163,-2.1295,-0.02,20.04,1003.56,1024.05,-9.705
0.663162,-2.1295,-0.03,20.04,1003.6,1024.09,-9.71
0.663161,-2.1295,-0.03,20.04,1003.63,1024.12,-9.705
0.66316,-2.12949,-0.02,20.04,1003.65,1024.14,-9.7
0.66316,-2.12949,0,20.04,1003.66,1024.15,-9.7
0.663159,-2.12948,0.01,20.04,1003.65,1024.14,-9.705
0.663158,-2.12948,0.02,19.88,1003.62,1023.78,-9.71
0.663157,-2.12948,0.09,19.88,1003.58,1023.74,-9.58
0.663157,-2.12947,0.13,20.04,1003.45,1023.94,-9.785
0.663156,-2.12947,0.05,20.04,1003.35,1023.84,-9.77
0.663155,-2.12946,0.01,20.04,1003.31,1023.8,-9.735
0.663155,-2.12946,0.01,19.88,1003.29,1023.45,-9.7
0.663154,-2.12946,0.11,20.04,1003.24,1023.73,-9.595
0.663153,-2.12945,0.07,20.04,1003.13,1023.62,-9.795
0.663153,-2.12945,0.02,20.04,1003.08,1023.57,-9.755
0.663152,-2.12944,0,20.04,1003.06,1023.55,-9.725
0.663151,-2.12944,-0.01,20.04,1003.07,1023.56,-9.71
0.66315,-2.12943,-0.01,20.04,1003.07,1023.56,-9.71
0.66315,-2.12943,-0.02,20.04,1003.09,1023.58,-9.715
0.663149,-2.12943,-0.03,20.04,1003.11,1023.6,-9.715
0.663148,-2.12942,-0.04,20.2,1003.15,1023.97,-9.725
0.663148,-2.12942,-0.13,20.04,1003.22,1023.71,-9.84
0.663147,-2.12941,-0.12,20.04,1003.36,1023.85,-9.61
0.663146,-2.12941,-0.05,20.04,1003.45,1023.94,-9.65
0.663146,-2.12941,-0.02,20.04,1003.5,1023.99,-9.685
0.663145,-2.1294,-0.01,20.04,1003.52,1024.01,-9.705
0.663144,-2.1294,-0.01,20.04,1003.54,1024.03,-9.705
0.663143,-2.12939,0,20.04,1003.55,1024.04,-9.705
0.663143,-2.12939,0.01,20.04,1003.55,1024.04,-9.705
0.663142,-2.12939,0.03,19.88,1003.54,1023.7,-9.665
0.663141,-2.12938,0.15,19.88,1003.46,1023.62,-9.58
0.663141,-2.12938,0.2,20.04,1003.29,1023.78,-9.735
0.66314,-2.12937,0.1,20.04,1003.13,1023.62,-9.785
0.663139,-2.12937,0.05,19.88,1003.05,1023.21,-9.725
0.663139,-2.12936,0.13,20.04,1002.96,1023.45,-9.585
0.663138,-2.12936,0.1,20.04,1002.82,1023.31,-9.8
0.663137,-2.12936,0.03,20.04,1002.76,1023.25,-9.74
0.663137,-2.12935,0,20.04,1002.73,1023.22,-9.705
0.663136,-2.12935,0,20.04,1002.73,1023.22,-9.685
0.663135,-2.12934,0,20.04,1002.72,1023.21,-9.68
0.663134,-2.12934,0,20.04,1002.72,1023.21,-9.685
0.663134,-2.12934,-0.03,20.2,1002.73,1023.55,-9.785
0.663133,-2.12933,-0.11,20.04,1002.81,1023.3,-9.655
0.663132,-2.12933,-0.06,20.04,1002.89,1023.38,-9.645
0.663132,-2.12932,-0.02,20.04,1002.93,1023.42,-9.665
0.663131,-2.12932,-0.03,20.2,1002.96,1023.78,-9.735
0.66313,-2.12932,-0.13,20.04,1003.04,1023.53,-9.71
0.66313,-2.12931,-0.07,20.04,1003.15,1023.64,-9.635
0.663129,-2.12931,-0.04,20.04,1003.21,1023.7,-9.655
0.663128,-2.1293,-0.03,20.2,1003.25,1024.07,-9.68
0.663127,-2.1293,-0.11,20.04,1003.31,1023.8,-9.805
0.663127,-2.12929,-0.08,20.04,1003.42,1023.91,-9.605
0.663126,-2.12929,-0.03,20.04,1003.48,1023.97,-9.65
0.663125,-2.12929,-0.01,20.04,1003.5,1023.99,-9.68
0.663125,-2.12928,-0.02,20.04,1003.52,1024.01,-9.7
0.663124,-2.12928,-0.02,20.04,1003.54,1024.03,-9.705
0.663123,-2.12927,-0.03,20.04,1003.57,1024.06,-9.7
0.663123,-2.12927,-0.03,20.04,1003.6,1024.09,-9.7
0.663122,-2.12927,-0.03,20.04,1003.63,1024.12,-9.705
0.663121,-2.12926,-0.03,20.04,1003.66,1024.15,-9.705
0.66312,-2.12926,-0.03,20.04,1003.7,1024.19,-9.7
0.66312,-2.12925,-0.03,20.04,1003.72,1024.21,-9.71
0.663119,-2.12925,-0.02,20.04,1003.75,1024.24,-9.7
0.663118,-2.12925,-0.01,20.04,1003.77,1024.26,-9.7
0.663118,-2.12924,0,20.04,1003.78,1024.27,-9.705
0.663117,-2.12924,0.04,19.88,1003.77,1023.93,-9.605
0.663116,-2.12923,0.16,20.04,1003.67,1024.16,-9.635
0.663116,-2.12923,0.14,20.04,1003.52,1024.01,-9.83
0.663115,-2.12922,0.06,20.04,1003.43,1023.92,-9.77
0.663114,-2.12922,0.03,19.88,1003.38,1023.54,-9.69
0.663113,-2.12922,0.13,20.04,1003.31,1023.8,-9.63
0.663113,-2.12921,0.08,20.04,1003.19,1023.68,-9.8
0.663112,-2.12921,0.03,20.04,1003.13,1023.62,-9.755
0.663111,-2.1292,0.01,20.04,1003.11,1023.6,-9.725
0.663111,-2.1292,0,20.04,1003.09,1023.58,-9.71
0.66311,-2.1292,0,20.04,1003.08,1023.57,-9.71
0.663109,-2.12919,-0.01,20.04,1003.08,1023.57,-9.715
0.663109,-2.12919,-0.02,20.04,1003.09,1023.58,-9.715
0.663108,-2.12918,-0.03,20.04,1003.12,1023.61,-9.715
0.663107,-2.12918,-0.09,20.2,1003.16,1023.98,-9.845
0.663106,-2.12918,-0.15,20.04,1003.29,1023.78,-9.65
0.663106,-2.12917,-0.07,20.04,1003.4,1023.89,-9.65
0.663105,-2.12917,-0.03,20.04,1003.46,1023.95,-9.68
0.663104,-2.12916,-0.01,20.04,1003.49,1023.98,-9.705
0.663104,-2.12916,-0.01,20.04,1003.5,1023.99,-9.71
